a_o,mes,nacionalidad,codigo_iso_3166,femenino,masculino,total,latitud_longitud
2017,Agosto,Hong Kong,344,2,1,3,"(0.814836,-77.662532)"
2021,Octubre,Nicaragua,558,44,48,92,"(4.697144,-74.140516)"
2016,Abril,Ghana,288,0,1,1,"(3.541112,-76.384584)"
2012,Noviembre,Estados Unidos de América,840,579,1048,1627,"(3.541112,-76.384584)"
2022,Diciembre,Islandia,352,2,3,5,"(3.541112,-76.384584)"
2015,Agosto,Ecuador,218,2,3,5,"(7.088729,-70.740253)"
2012,Octubre,Dominica,212,1,0,1,"(3.541112,-76.384584)"
2022,Marzo,Guatemala,320,264,276,540,"(10.445761,-75.516429)"
2016,Febrero,Austria,40,6,2,8,"(10.408582,-75.538003)"
2022,Junio,Etiopia,231,3,24,27,"(4.697144,-74.140516)"
2015,Agosto,República Dominicana,214,0,3,3,"(1.813928,-78.763924)"
2019,Julio,Kenia,404,10,6,16,"(4.697144,-74.140516)"
2016,Febrero,Dinamarca,208,172,253,425,"(4.697144,-74.140516)"
2021,Agosto,Italia,380,3,8,11,"(7.088729,-70.740253)"
2016,Septiembre,Reino Unido de Gran Bretaña e Irlanda del Norte,826,17,22,39,"(10.408582,-75.538003)"
2014,Noviembre,Indonesia,360,0,1,1,"(7.818934,-72.453226)"
2017,Noviembre,Israel,376,2,10,12,"(3.541112,-76.384584)"
2015,Enero,Federación de Rusia,643,2,1,3,"(12.586067,-81.702563)"
2017,Septiembre,Chile,152,307,269,576,"(10.445761,-75.516429)"
2019,Diciembre,Francia,250,7,12,19,"(12.586067,-81.702563)"
2019,Agosto,Alemania,276,230,328,558,"(6.171601,-75.427454)"
2013,Enero,India,356,0,5,5,"(0.814836,-77.662532)"
2018,Abril,India,356,0,9,9,"(10.408582,-75.538003)"
2012,Marzo,Uruguay,858,0,5,5,"(10.886611,-74.776708)"
2023,Enero,Chile,152,623,696,1319,"(6.171601,-75.427454)"
2021,Noviembre,Paraguay,600,16,78,94,"(10.886611,-74.776708)"
2013,Septiembre,Suiza,756,1,4,5,"(8.635765,-77.346578)"
2017,Diciembre,Portugal,620,216,427,643,"(4.697144,-74.140516)"
2016,Noviembre,México,484,4,4,8,"(11.360009,-72.129330)"
2021,Agosto,Trinidad y Tobago,780,2,5,7,"(10.445761,-75.516429)"
2013,Diciembre,Portugal,620,2,3,5,"(10.408582,-75.538003)"
2017,Marzo,China,156,2,1,3,"(7.128456,-73.183637)"
2015,Abril,República de Armenia,51,4,2,6,"(4.697144,-74.140516)"
2018,Junio,Mauricio,480,0,1,1,"(6.171601,-75.427454)"
2015,Abril,Uganda,800,2,0,2,"(3.541112,-76.384584)"
2013,Julio,El Salvador,222,482,778,1260,"(4.697144,-74.140516)"
2018,Septiembre,España,724,2,7,9,"(11.360009,-72.129330)"
2017,Agosto,Ucrania,804,0,2,2,"(3.893038,-77.067921)"
2015,Julio,Ecuador,218,12,11,23,"(11.360009,-72.129330)"
2015,Diciembre,Nicaragua,558,7,13,20,"(10.445761,-75.516429)"
2019,Abril,Suiza,756,23,17,40,"(0.814836,-77.662532)"
2019,Octubre,Croacia,191,0,2,2,"(3.541112,-76.384584)"
2016,Marzo,Guatemala,320,522,768,1290,"(4.697144,-74.140516)"
2021,Enero,Filipinas,608,3,28,31,"(10.445761,-75.516429)"
2022,Enero,Brasil,76,8,18,26,"(10.886611,-74.776708)"
2023,Marzo,San  Vicente y las Granadinas,670,1,0,1,"(10.445761,-75.516429)"
2022,Julio,Noruega,578,151,178,329,"(4.697144,-74.140516)"
2012,Diciembre,Túnez,788,0,2,2,"(4.697144,-74.140516)"
2016,Febrero,Nueva Zelanda,554,4,5,9,"(8.635765,-77.346578)"
2013,Julio,Cuba,192,1,0,1,"(10.408582,-75.538003)"
2022,Julio,Ucrania,804,0,6,6,"(10.886611,-74.776708)"
2015,Septiembre,Georgia,268,1,2,3,"(6.171601,-75.427454)"
2018,Diciembre,Argentina,32,2956,4242,7198,"(4.697144,-74.140516)"
2016,Diciembre,República de Corea,410,278,414,692,"(4.697144,-74.140516)"
2022,Mayo,Venezuela,862,178,149,327,"(7.088729,-70.740253)"
2015,Junio,Australia,36,13,12,25,"(3.541112,-76.384584)"
2013,Mayo,Argentina,32,162,127,289,"(12.586067,-81.702563)"
2018,Julio,Austria,40,2,5,7,"(8.635765,-77.346578)"
2012,Junio,Jamaica,388,2,7,9,"(12.586067,-81.702563)"
2021,Enero,India,356,4,13,17,"(6.171601,-75.427454)"
2022,Junio,Noruega,578,1,2,3,"(12.586067,-81.702563)"
2018,Agosto,Ucrania,804,28,38,66,"(4.697144,-74.140516)"
2016,Agosto,China,156,0,1,1,"(4.452882,-75.766298)"
2018,Agosto,Francia,250,0,5,5,"(4.452882,-75.766298)"
2018,Marzo,República de Corea,410,0,4,4,"(11.247723,-74.213989)"
2018,Junio,Suecia,752,0,1,1,"(8.36068,-72.409396)"
2018,Noviembre,España,724,7,7,14,"(12.586067,-81.702563)"
2022,Febrero,Qatar,634,0,1,1,"(4.815061,-75.736532)"
2015,Agosto,Venezuela,862,1,1,2,"(-4.197703,-69.941278)"
2013,Noviembre,Perú,604,210,436,646,"(6.171601,-75.427454)"
2013,Enero,República Dominicana,214,15,84,99,"(10.886611,-74.776708)"
2015,Junio,Estados Unidos de América,840,9491,14616,24107,"(4.697144,-74.140516)"
2013,Noviembre,Venezuela,862,4,3,7,"(12.586067,-81.702563)"
2022,Abril,Dinamarca,208,0,1,1,"(7.128456,-73.183637)"
2019,Diciembre,Noruega,578,28,32,60,"(6.171601,-75.427454)"
2012,Octubre,Isla de Man,833,35,95,130,"(4.697144,-74.140516)"
2012,Julio,República Checa,203,0,3,3,"(4.697144,-74.140516)"
2021,Abril,India,356,0,1,1,"(11.247723,-74.213989)"
2022,Octubre,Federación de Rusia,643,0,4,4,"(10.886611,-74.776708)"
2013,Abril,Bahamas,44,0,1,1,"(6.171601,-75.427454)"
2014,Diciembre,México,484,3360,5272,8632,"(4.697144,-74.140516)"
2016,Octubre,Trinidad y Tobago,780,0,7,7,"(6.171601,-75.427454)"
2019,Enero,Myanmar,104,0,3,3,"(10.971302,-74.765397)"
2021,Marzo,Federación de Rusia,643,0,3,3,"(10.408582,-75.538003)"
2016,Marzo,Islas Fiji,242,0,1,1,"(4.697144,-74.140516)"
2023,Mayo,República de Irlanda,372,1,1,2,"(-4.223468,-69.945098)"
2020,Enero,Austria,40,251,371,622,"(4.697144,-74.140516)"
2012,Octubre,España,724,2,7,9,"(10.408582,-75.538003)"
2023,Enero,Paraguay,600,1,2,3,"(7.818934,-72.453226)"
2012,Octubre,Zimbabue,716,1,0,1,"(4.697144,-74.140516)"
2018,Enero,Reino Unido de Gran Bretaña e Irlanda del Norte,826,6,6,12,"(-4.223468,-69.945098)"
2013,Diciembre,Cuba,192,7,11,18,"(10.886611,-74.776708)"
2018,Septiembre,Mongolia,496,4,5,9,"(4.697144,-74.140516)"
2013,Septiembre,Togo,768,0,4,4,"(4.697144,-74.140516)"
2020,Enero,Suecia,752,3,5,8,"(11.247723,-74.213989)"
2013,Julio,República de Irlanda,372,1,1,2,"(8.635765,-77.346578)"
2013,Noviembre,Uruguay,858,0,1,1,"(7.927209,-72.507910)"
2019,Enero,Honduras,340,4,0,4,"(7.128456,-73.183637)"
2018,Octubre,Zimbabue,716,0,1,1,"(10.445761,-75.516429)"
2016,Noviembre,Australia,36,18,15,33,"(8.635765,-77.346578)"
2015,Mayo,Japón,392,9,30,39,"(6.171601,-75.427454)"
2020,Marzo,Venezuela,862,6,19,25,"(4.815061,-75.736532)"
2023,Febrero,Bélgica,56,3,8,11,"(3.541112,-76.384584)"
2017,Enero,Turquía,792,1,1,2,"(4.815061,-75.736532)"
2021,Noviembre,México,484,3420,5618,9038,"(4.697144,-74.140516)"
2023,Mayo,Bosnia y Herzegovina,70,4,12,16,"(4.697144,-74.140516)"
2019,Septiembre,Noruega,578,5,12,17,"(6.171601,-75.427454)"
2019,Junio,Kazajistán,398,1,1,2,"(6.171601,-75.427454)"
2016,Octubre,Costa Rica,188,94,72,166,"(12.586067,-81.702563)"
2013,Octubre,España,724,0,1,1,"(6.185799,-67.483929)"
2015,Junio,Dinamarca,208,0,1,1,"(-4.197703,-69.941278)"
2017,Septiembre,Sudáfrica,710,2,6,8,"(10.445761,-75.516429)"
2017,Noviembre,Chile,152,140,148,288,"(3.541112,-76.384584)"
2019,Mayo,España,724,1,2,3,"(7.128456,-73.183637)"
2022,Mayo,Panamá,591,551,516,1067,"(10.445761,-75.516429)"
2015,Diciembre,Arabia Saudita,682,2,24,26,"(4.697144,-74.140516)"
2014,Enero,Panamá,591,5,2,7,"(0.814836,-77.662532)"
2018,Agosto,Suiza,756,10,15,25,"(10.408582,-75.538003)"
2022,Noviembre,Kenia,404,1,0,1,"(10.886611,-74.776708)"
2022,Mayo,Suiza,756,1,3,4,"(11.247723,-74.213989)"
2023,Mayo,Desconocido,99999,5,5,10,"(10.445761,-75.516429)"
2022,Abril,Bolivia,68,3,9,12,"(10.886611,-74.776708)"
2020,Diciembre,República Dominicana,214,15,20,35,"(10.886611,-74.776708)"
2015,Septiembre,China,156,28,56,84,"(6.171601,-75.427454)"
2013,Mayo,Israel,376,6,15,21,"(3.541112,-76.384584)"
2013,Mayo,República de Irlanda,372,0,1,1,"(3.541112,-76.384584)"
2022,Junio,México,484,5850,7465,13315,"(4.697144,-74.140516)"
2015,Septiembre,República Checa,203,1,1,2,"(10.408582,-75.538003)"
2017,Abril,Brasil,76,0,2,2,"(8.36068,-72.409396)"
2015,Abril,Austria,40,2,8,10,"(3.541112,-76.384584)"
2019,Julio,Jamaica,388,9,8,17,"(6.171601,-75.427454)"
2014,Noviembre,Desconocido,99999,0,3,3,"(3.541112,-76.384584)"
2016,Marzo,México,484,0,1,1,"(6.228046,-77.404104)"
2012,Abril,Israel,376,3,9,12,"(3.541112,-76.384584)"
2016,Junio,Camerún,120,0,1,1,"(0.814836,-77.662532)"
2022,Noviembre,Venezuela,862,2134,2079,4213,"(11.360009,-72.129330)"
2019,Diciembre,Alemania,276,2,7,9,"(7.818934,-72.453226)"
2023,Mayo,Turquía,792,0,1,1,"(11.360009,-72.129330)"
2023,Junio,Venezuela,862,454,376,830,"(8.36068,-72.409396)"
2014,Septiembre,Chile,152,2,0,2,"(0.25129,-76.875963)"
2014,Octubre,Ecuador,218,2,8,10,"(7.927209,-72.507910)"
2013,Diciembre,Chipre,196,0,8,8,"(4.697144,-74.140516)"
2018,Mayo,Nigeria,566,0,3,3,"(6.171601,-75.427454)"
2019,Febrero,Serbia,688,1,5,6,"(6.171601,-75.427454)"
2013,Mayo,Estados Unidos de América,840,3,5,8,"(11.247723,-74.213989)"
2022,Marzo,El Salvador,222,0,1,1,"(0.814836,-77.662532)"
2012,Mayo,Indonesia,360,1,0,1,"(6.171601,-75.427454)"
2015,Julio,Chile,152,82,69,151,"(12.586067,-81.702563)"
2019,Abril,Guinea,324,0,1,1,"(4.697144,-74.140516)"
2014,Diciembre,Federación de Rusia,643,1,1,2,"(-4.197703,-69.941278)"
2015,Diciembre,Francia,250,14,21,35,"(10.408582,-75.538003)"
2019,Abril,Francia,250,1,2,3,"(12.5744111,-81.703935)"
2018,Julio,Montenegro,499,0,2,2,"(6.171601,-75.427454)"
2014,Junio,Croacia,191,6,42,48,"(4.697144,-74.140516)"
2013,Septiembre,Chile,152,9,23,32,"(10.886611,-74.776708)"
2019,Junio,Argentina,32,6,7,13,"(4.815061,-75.736532)"
2021,Abril,Estados Unidos de América,840,66,138,204,"(7.128456,-73.183637)"
2012,Enero,Venezuela,862,3,1,4,"(7.128456,-73.183637)"
2023,Marzo,Pakistán,586,0,2,2,"(3.893038,-77.067921)"
2013,Septiembre,Francia,250,0,1,1,"(4.452882,-75.766298)"
2013,Junio,México,484,7,17,24,"(10.408582,-75.538003)"
2015,Octubre,Chile,152,41,105,146,"(6.171601,-75.427454)"
2021,Mayo,Israel,376,1,0,1,"(3.541112,-76.384584)"
2017,Septiembre,Guatemala,320,1,3,4,"(8.36068,-72.409396)"
2022,Marzo,República de Irlanda,372,1,0,1,"(12.586067,-81.702563)"
2018,Marzo,Desconocido,99999,10,10,20,"(6.171601,-75.427454)"
2019,Diciembre,México,484,17,19,36,"(4.815061,-75.736532)"
2017,Octubre,Desconocido,99999,1,0,1,"(10.886611,-74.776708)"
2021,Febrero,Chipre,196,3,3,6,"(4.697144,-74.140516)"
2017,Octubre,Paraguay,600,20,104,124,"(10.886611,-74.776708)"
2023,Febrero,Chile,152,9,15,24,"(7.916725,-72.462544)"
2012,Enero,Angola,24,1,1,2,"(4.697144,-74.140516)"
2013,Agosto,Francia,250,1414,2334,3748,"(4.697144,-74.140516)"
2023,Enero,Nueva Zelanda,554,0,1,1,"(8.635765,-77.346578)"
2022,Noviembre,Rumania,642,2,3,5,"(10.886611,-74.776708)"
2019,Julio,Grecia,300,1,3,4,"(3.541112,-76.384584)"
2015,Enero,Reino Unido de Gran Bretaña e Irlanda del Norte,826,0,1,1,"(9.402978,-75.681599)"
2013,Marzo,Venezuela,862,66,117,183,"(7.088729,-70.740253)"
2018,Julio,Brasil,76,6209,6895,13104,"(4.697144,-74.140516)"
2020,Octubre,Ecuador,218,0,52,52,"(1.813928,-78.763924)"
2023,Febrero,Bélgica,56,4,4,8,"(11.247723,-74.213989)"
2022,Diciembre,Rumania,642,0,1,1,"(7.927209,-72.507910)"
2014,Abril,Bosnia y Herzegovina,70,2,1,3,"(4.697144,-74.140516)"
2023,Abril,Túnez,788,3,8,11,"(4.697144,-74.140516)"
2012,Junio,Reino Unido de Gran Bretaña e Irlanda del Norte,826,0,1,1,"(7.818934,-72.453226)"
2017,Junio,Portugal,620,0,2,2,"(8.635765,-77.346578)"
2016,Noviembre,Estonia,233,0,1,1,"(10.971302,-74.765397)"
2018,Noviembre,Togo,768,0,1,1,"(4.697144,-74.140516)"
2016,Junio,República de Belarús,112,3,3,6,"(4.697144,-74.140516)"
2020,Noviembre,Bulgaria,100,1,3,4,"(4.697144,-74.140516)"
2014,Abril,República de Armenia,51,1,1,2,"(6.171601,-75.427454)"
2012,Octubre,Alemania,276,0,2,2,"(11.528919,-72.919681)"
2013,Diciembre,Grecia,300,0,1,1,"(8.635765,-77.346578)"
2023,Marzo,España,724,213,330,543,"(10.445761,-75.516429)"
2017,Diciembre,Ucrania,804,1,13,14,"(10.408582,-75.538003)"
2018,Julio,Santa Lucia,662,2,10,12,"(4.697144,-74.140516)"
2021,Julio,Israel,376,3,6,9,"(3.541112,-76.384584)"
2022,Julio,Alemania,276,131,131,262,"(3.541112,-76.384584)"
2018,Diciembre,Nueva Zelanda,554,3,8,11,"(10.408582,-75.538003)"
2014,Mayo,Israel,376,9,33,42,"(10.445761,-75.516429)"
2015,Mayo,Guatemala,320,1,1,2,"(0.814836,-77.662532)"
2015,Noviembre,Bélgica,56,197,439,636,"(4.697144,-74.140516)"
2017,Febrero,Lituania,440,0,2,2,"(3.893038,-77.067921)"
2016,Agosto,República Checa,203,1,1,2,"(10.445761,-75.516429)"
2020,Julio,Japón,392,2,0,2,"(4.697144,-74.140516)"
2016,Julio,Bermudas/Territorio Británico de Ultramar,60,0,1,1,"(6.171601,-75.427454)"
2016,Enero,Japón,392,1,0,1,"(10.408582,-75.538003)"
2019,Octubre,Azerbaiyán,31,1,6,7,"(4.697144,-74.140516)"
2021,Noviembre,Belice,84,4,18,22,"(4.697144,-74.140516)"
2015,Agosto,Alemania,276,4,1,5,"(12.586067,-81.702563)"
2017,Octubre,Perú,604,117,99,216,"(10.408582,-75.538003)"
2022,Marzo,Finlandia,246,8,6,14,"(10.445761,-75.516429)"
2013,Noviembre,Grecia,300,0,2,2,"(10.408582,-75.538003)"
2015,Agosto,Cuba,192,36,57,93,"(6.171601,-75.427454)"
2020,Noviembre,Rumania,642,0,1,1,"(10.886611,-74.776708)"
2014,Febrero,Marruecos,504,1,0,1,"(10.445761,-75.516429)"
2016,Julio,República Dominicana,214,1,1,2,"(7.818934,-72.453226)"
2015,Febrero,El Salvador,222,2,2,4,"(7.927209,-72.507910)"
2021,Junio,Luxemburgo,442,0,1,1,"(6.171601,-75.427454)"
2017,Marzo,Chipre,196,6,5,11,"(4.697144,-74.140516)"
2022,Julio,República Dominicana,214,61,79,140,"(3.541112,-76.384584)"
2021,Marzo,Panamá,591,494,613,1107,"(6.171601,-75.427454)"
2015,Noviembre,Perú,604,0,1,1,"(1.813928,-78.763924)"
2017,Octubre,Perú,604,0,1,1,"(10.971302,-74.765397)"
2017,Julio,Pakistán,586,10,17,27,"(4.697144,-74.140516)"
2015,Agosto,Singapur,702,0,1,1,"(3.541112,-76.384584)"
2018,Mayo,Israel,376,4,6,10,"(-4.223468,-69.945098)"
2017,Febrero,Uruguay,858,242,326,568,"(4.697144,-74.140516)"
2012,Junio,Italia,380,17,66,83,"(10.445761,-75.516429)"
2013,Enero,Zimbabue,716,0,2,2,"(4.697144,-74.140516)"
2022,Agosto,Ecuador,218,206,223,429,"(0.25129,-76.875963)"
2023,Marzo,Perú,604,18,17,35,"(4.815061,-75.736532)"
2014,Enero,China,156,4,6,10,"(10.445761,-75.516429)"
2014,Octubre,Bélgica,56,5,18,23,"(3.541112,-76.384584)"
2023,Junio,San Cristóbal y Nevis,659,3,5,8,"(4.697144,-74.140516)"
2023,Mayo,Canadá,124,0,3,3,"(7.128456,-73.183637)"
2022,Noviembre,Italia,380,2,3,5,"(-4.197703,-69.941278)"
2022,Septiembre,España,724,2,4,6,"(-4.197703,-69.941278)"
2017,Octubre,Dinamarca,208,0,2,2,"(10.408582,-75.538003)"
2017,Julio,Chipre,196,0,2,2,"(3.541112,-76.384584)"
2021,Noviembre,Indonesia,360,0,16,16,"(10.408582,-75.538003)"
2015,Diciembre,Marruecos,504,1,0,1,"(10.886611,-74.776708)"
2018,Mayo,Francia,250,59,84,143,"(3.541112,-76.384584)"
2013,Abril,Jamaica,388,1,1,2,"(3.541112,-76.384584)"
2014,Diciembre,Nepal,524,0,2,2,"(10.445761,-75.516429)"
2016,Diciembre,Estados Unidos de América,840,4,1,5,"(11.360009,-72.129330)"
2019,Noviembre,República de Irlanda,372,17,55,72,"(6.171601,-75.427454)"
2017,Mayo,Estados Unidos de América,840,0,1,1,"(8.36068,-72.409396)"
2017,Diciembre,Chipre,196,0,1,1,"(6.171601,-75.427454)"
2012,Julio,Israel,376,36,83,119,"(0.814836,-77.662532)"
2018,Noviembre,Azerbaiyán,31,0,2,2,"(10.445761,-75.516429)"
2013,Enero,India,356,0,1,1,"(4.815061,-75.736532)"
2022,Junio,Federación de Rusia,643,164,143,307,"(4.697144,-74.140516)"
2022,Julio,Reino Unido de Gran Bretaña e Irlanda del Norte,826,1,0,1,"(12.5744111,-81.703935)"
2015,Abril,Estados Unidos de América,840,11,26,37,"(7.818934,-72.453226)"
2019,Enero,Bahamas,44,0,4,4,"(10.445761,-75.516429)"
2021,Septiembre,Nueva Zelanda,554,1,1,2,"(3.541112,-76.384584)"
2014,Julio,Nueva Zelanda,554,2,16,18,"(6.171601,-75.427454)"
2019,Agosto,Hungría,348,3,5,8,"(10.408582,-75.538003)"
2019,Noviembre,Malta,470,0,1,1,"(6.171601,-75.427454)"
2021,Octubre,Turquía,792,0,1,1,"(7.128456,-73.183637)"
2015,Noviembre,Honduras,340,264,350,614,"(4.697144,-74.140516)"
2020,Febrero,Mauricio,480,2,4,6,"(4.697144,-74.140516)"
2020,Enero,Austria,40,0,3,3,"(4.815061,-75.736532)"
2016,Noviembre,Trinidad y Tobago,780,1,2,3,"(7.128456,-73.183637)"
2019,Julio,Kirguistán,417,1,0,1,"(6.171601,-75.427454)"
2016,Diciembre,Perú,604,1,1,2,"(-0.193180,-74.784874)"
2014,Abril,Dinamarca,208,1,2,3,"(10.886611,-74.776708)"
2016,Septiembre,Argentina,32,77,133,210,"(3.541112,-76.384584)"
2016,Octubre,Israel,376,4,21,25,"(3.541112,-76.384584)"
2015,Febrero,Filipinas,608,0,23,23,"(3.893038,-77.067921)"
2019,Octubre,Argentina,32,3416,4835,8251,"(4.697144,-74.140516)"
2016,Mayo,Nueva Zelanda,554,0,2,2,"(10.886611,-74.776708)"
2012,Noviembre,San  Vicente y las Granadinas,670,0,2,2,"(4.697144,-74.140516)"
2019,Enero,Cuba,192,0,2,2,"(7.128456,-73.183637)"
2019,Noviembre,Bulgaria,100,48,36,84,"(4.697144,-74.140516)"
2012,Febrero,Países Bajos,528,19,35,54,"(3.541112,-76.384584)"
2022,Abril,México,484,2,2,4,"(11.360009,-72.129330)"
2012,Enero,México,484,14,16,30,"(0.814836,-77.662532)"
2015,Junio,Dinamarca,208,0,5,5,"(11.247723,-74.213989)"
2018,Noviembre,Federación de Rusia,643,19,54,73,"(10.445761,-75.516429)"
2020,Marzo,Reino Unido de Gran Bretaña e Irlanda del Norte,826,1,0,1,"(4.452882,-75.766298)"
2018,Abril,Perú,604,122,212,334,"(7.818934,-72.453226)"
2020,Diciembre,Bolivia,68,28,21,49,"(10.445761,-75.516429)"
2018,Noviembre,Polonia,616,3,0,3,"(3.541112,-76.384584)"
2014,Marzo,Canadá,124,3,14,17,"(10.886611,-74.776708)"
2015,Junio,Uruguay,858,37,26,63,"(12.586067,-81.702563)"
2017,Octubre,Argentina,32,2,6,8,"(4.815061,-75.736532)"
2021,Diciembre,Qatar,634,1,5,6,"(4.697144,-74.140516)"
2013,Junio,Camerún,120,0,1,1,"(3.541112,-76.384584)"
2022,Septiembre,Liechtenstein,438,0,1,1,"(0.814836,-77.662532)"
2022,Agosto,Francia,250,11,29,40,"(-4.197703,-69.941278)"
2016,Enero,Portugal,620,1,3,4,"(7.818934,-72.453226)"
2013,Enero,Nigeria,566,1,0,1,"(3.541112,-76.384584)"
2023,Junio,Somalia,706,0,1,1,"(4.697144,-74.140516)"
2015,Agosto,República Dominicana,214,2,3,5,"(11.360009,-72.129330)"
2012,Septiembre,Bolivia,68,2,2,4,"(12.586067,-81.702563)"
2017,Abril,Nueva Zelanda,554,1,0,1,"(7.818934,-72.453226)"
2012,Junio,Pakistán,586,0,1,1,"(7.818934,-72.453226)"
2020,Diciembre,Albania,8,0,1,1,"(6.171601,-75.427454)"
2017,Julio,Egipto,818,0,6,6,"(10.445761,-75.516429)"
2018,Marzo,Refugiado,99999,0,1,1,"(12.586067,-81.702563)"
2014,Septiembre,Italia,380,0,1,1,"(12.5744111,-81.703935)"
2016,Marzo,Bélgica,56,1,1,2,"(12.586067,-81.702563)"
2018,Febrero,Brasil,76,3,5,8,"(3.866713,-67.927521)"
2022,Agosto,Eslovaquia,703,0,1,1,"(3.893038,-77.067921)"
2015,Mayo,Reino Unido de Gran Bretaña e Irlanda del Norte,826,0,2,2,"(0.25129,-76.875963)"
2014,Noviembre,Polonia,616,0,8,8,"(6.171601,-75.427454)"
2016,Abril,Islas Caimán/Territorio Británico de Ultramar,136,0,1,1,"(10.445761,-75.516429)"
2021,Junio,Perú,604,0,1,1,"(11.360009,-72.129330)"
2015,Febrero,Argentina,32,1,2,3,"(8.635765,-77.346578)"
2013,Noviembre,República de Corea,410,3,1,4,"(-4.197703,-69.941278)"
2014,Febrero,Noruega,578,0,3,3,"(12.5744111,-81.703935)"
2022,Mayo,Suiza,756,0,1,1,"(12.586067,-81.702563)"
2013,Junio,Malasia,458,1,0,1,"(8.635765,-77.346578)"
2018,Abril,Canadá,124,17,52,69,"(10.886611,-74.776708)"
2018,Agosto,República Dominicana,214,2,7,9,"(11.360009,-72.129330)"
2018,Agosto,Marruecos,504,1,3,4,"(6.171601,-75.427454)"
2016,Julio,Brasil,76,78,78,156,"(-4.197703,-69.941278)"
2019,Febrero,Malta,470,0,1,1,"(6.171601,-75.427454)"
2017,Septiembre,Chile,152,26,35,61,"(10.886611,-74.776708)"
2015,Agosto,Bélgica,56,14,17,31,"(3.541112,-76.384584)"
2021,Octubre,Suiza,756,210,342,552,"(4.697144,-74.140516)"
2015,Noviembre,Santa Lucia,662,4,4,8,"(4.697144,-74.140516)"
2023,Abril,Federación de Rusia,643,1,5,6,"(10.886611,-74.776708)"
2015,Junio,Turquía,792,0,3,3,"(0.814836,-77.662532)"
2014,Febrero,Venezuela,862,1,0,1,"(8.635765,-77.346578)"
2012,Diciembre,Islandia,352,1,3,4,"(10.445761,-75.516429)"
2021,Marzo,Países Bajos,528,196,394,590,"(4.697144,-74.140516)"
2012,Junio,Turquía,792,0,3,3,"(10.971302,-74.765397)"
2013,Mayo,Venezuela,862,2,11,13,"(4.815061,-75.736532)"
2019,Julio,Taiwán,158,20,21,41,"(6.171601,-75.427454)"
2021,Febrero,Angola,24,1,0,1,"(6.171601,-75.427454)"
2016,Junio,Hungría,348,0,1,1,"(8.635765,-77.346578)"
2019,Octubre,Portugal,620,17,17,34,"(7.818934,-72.453226)"
2012,Abril,Granada,308,0,1,1,"(6.171601,-75.427454)"
2016,Diciembre,Irán,364,0,1,1,"(-4.197703,-69.941278)"
2022,Julio,Montenegro,499,0,3,3,"(10.408582,-75.538003)"
2016,Marzo,Jordania,400,0,1,1,"(0.814836,-77.662532)"
2013,Mayo,República de Corea,410,1,0,1,"(-4.197703,-69.941278)"
2019,Noviembre,Croacia,191,0,6,6,"(10.971302,-74.765397)"
2022,Febrero,India,356,0,7,7,"(11.247723,-74.213989)"
2019,Mayo,Chile,152,1,3,4,"(-4.223468,-69.945098)"
2023,Mayo,España,724,1,0,1,"(3.893038,-77.067921)"
2023,Febrero,Lituania,440,76,82,158,"(4.697144,-74.140516)"
2018,Octubre,Canadá,124,217,291,508,"(10.445761,-75.516429)"
2015,Julio,Noruega,578,1,1,2,"(11.360009,-72.129330)"
2017,Mayo,Lituania,440,16,11,27,"(4.697144,-74.140516)"
2021,Diciembre,República Dominicana,214,30,61,92,"(10.445761,-75.516429)"
2017,Abril,Ecuador,218,0,3,3,"(4.815061,-75.736532)"
2018,Abril,Suecia,752,1,0,1,"(13.3387613,-81.372937)"
2017,Febrero,Federación de Rusia,643,1,2,3,"(10.886611,-74.776708)"
2018,Febrero,Federación de Rusia,643,142,196,338,"(4.697144,-74.140516)"
2023,Abril,Perú,604,9,11,20,"(4.815061,-75.736532)"
2013,Marzo,Japón,392,0,2,2,"(10.886611,-74.776708)"
2012,Enero,Guatemala,320,8,15,23,"(10.445761,-75.516429)"
2013,Mayo,Perú,604,14,28,42,"(-4.197703,-69.941278)"
2014,Mayo,España,724,1,31,32,"(10.886611,-74.776708)"
2015,Marzo,Haití,332,0,1,1,"(7.818934,-72.453226)"
2018,Julio,Venezuela,862,5395,5388,10784,"(4.697144,-74.140516)"
2012,Octubre,Polonia,616,4,1,5,"(3.541112,-76.384584)"
2012,Marzo,Japón,392,235,479,714,"(4.697144,-74.140516)"
2020,Enero,Irán,364,1,0,1,"(10.445761,-75.516429)"
2020,Febrero,Desconocido,99999,1,1,2,"(6.171601,-75.427454)"
2012,Octubre,Reino Unido de Gran Bretaña e Irlanda del Norte,826,24,33,57,"(10.408582,-75.538003)"
2023,Enero,Canadá,124,5,8,13,"(7.128456,-73.183637)"
2014,Septiembre,Tailandia,764,4,10,14,"(4.697144,-74.140516)"
2012,Diciembre,Bulgaria,100,0,3,3,"(6.171601,-75.427454)"
2016,Diciembre,Nicaragua,558,10,12,22,"(3.541112,-76.384584)"
2022,Marzo,Serbia,688,0,1,1,"(3.541112,-76.384584)"
2023,Febrero,Polonia,616,2,16,18,"(3.541112,-76.384584)"
2012,Enero,República Dominicana,214,0,1,1,"(4.452882,-75.766298)"
2021,Octubre,Taiwán,158,0,3,3,"(3.541112,-76.384584)"
2018,Noviembre,Somalia,706,0,1,1,"(4.697144,-74.140516)"
2015,Marzo,India,356,0,10,10,"(0.814836,-77.662532)"
